price,bed,bath,acre_lot,state,zip_code,house_size,prev_sold_date
525000,3,2,1.03,New York,10512,1950,
437500,3,2,1.07,New York,12582,1887,35580
400000,3,3,0.26,New York,12582,1760,41704
424500,3,3,0.67,New York,10512,1547,44452
475000,3,3,2.27,New York,10512,1600,36112
425000,3,2,0.54,New York,10512,2324,44417
399000,3,2,0.57,New York,10512,1487,43208
895000,3,2,20,New York,12570,2288,
410000,3,2,0.32,New York,10512,1576,35678
375000,3,2,1.27,New York,12582,2264,32538
350000,3,2,0.95,New York,12582,1456,44298
449000,3,2,1.03,New York,10579,1360,42424
875000,3,2,0.67,New York,10579,2055,44204
725000,3,3,1.38,New York,10512,2400,37525
449000,3,3,1.29,New York,10512,2496,40819
550000,3,2,0.56,New York,10512,1624,44245
589990,3,2,0.75,New York,11790,1767,
629000,3,3,2.09,New York,12582,3316,35697
355000,3,1,0.09,New York,10512,1244,37470
585000,3,3,0.35,New York,10512,2740,43262
425000,3,2,0.75,New York,10512,1300,
379900,3,2,0.18,New York,11720,1123,39785
325000,3,2,1.02,New York,10512,1852,43110
499000,3,3,2.04,New York,10512,2530,35599
399000,3,2,0.41,New York,10512,1386,36934
495000,3,3,2.05,New York,12533,1968,30585
495900,3,2,3.49,New York,12533,2196,36035
550000,3,3,0.5,New York,11727,,41471
369000,3,2,0.05,New York,11727,,41684
389000,3,1,0.15,New York,11776,,43972
199000,3,2,0.14,New York,11789,2000,40281
579000,3,3,0.23,New York,11778,1920,
474900,3,2,0.21,New York,11784,,44522
399990,3,2,1,New York,11953,,44489
380000,3,2,0.18,New York,11776,,
360000,3,3,0.04,New York,11727,,43042
549999,3,3,0.71,New York,11792,,
679000,3,4,0.36,New York,11777,2000,36752
429999,3,2,0.21,New York,11784,,38897
450000,3,2,0.25,New York,11720,,37852
475000,3,2,0.14,New York,11778,,44145
475000,3,1,0.23,New York,11779,,39336
